origin_city,pct_same_day,pct_4hr,shipments_per_day,avg_distance_km,cur_delivery_time_hr,cur_cost_aed,delay_rate_pct,delay_churn_pct,lat,lon,pct_ultra_urgent,traffic_level,fuel_cost,wage_cost,maint_cost,overhead_cost,competitor_time_hr,peak_hours
ajman,91.9,85.5,59,99.8,2.3,42.04,25.0,13.9,25.1371,54.3398,24.6,Medium,25.224,8.408,6.306,2.102,2.88,6-9 AM
sharjah,84.0,90.1,44,35.9,1.2,16.2,37.5,16.2,24.5318,54.5695,20.0,Medium,9.719999999999999,3.24,2.4299999999999997,0.81,1.5,6-9 AM
abu dhabi,87.9,75.6,58,31.0,0.8,15.51,54.4,19.5,25.456,54.6236,13.0,Medium,9.306,3.1020000000000003,2.3265,0.7755000000000001,1.0,12-3 PM
al ain,63.0,67.0,31,146.8,3.1,57.93,4.1,2.2,25.3397,55.9929,25.9,Medium,34.757999999999996,11.586,8.689499999999999,2.8965,3.88,12-3 PM
ras al khaimah,63.5,81.6,81,21.5,0.5,10.61,47.0,24.7,25.1676,54.4291,9.5,Medium,6.366,2.122,1.5915,0.5305,0.62,6-9 AM
ajman,60.9,70.8,174,149.9,3.4,54.04,7.7,3.7,24.292,54.2584,7.6,Low,32.424,10.808,8.106,2.702,4.25,6-9 PM
sharjah,43.5,25.4,155,109.4,3.7,44.55,27.9,19.2,24.7001,55.8514,12.9,Low,26.729999999999997,8.91,6.682499999999999,2.2275,4.62,6-9 PM
ras al khaimah,32.2,46.6,36,96.3,2.3,51.56,9.8,4.2,24.0657,54.3239,11.2,Medium,30.936,10.312000000000001,7.734,2.5780000000000003,2.88,6-9 AM
ajman,59.2,66.1,112,54.3,1.5,25.96,46.9,23.5,24.2314,55.7586,13.2,Medium,15.576,5.192,3.894,1.298,1.88,6-9 AM
sharjah,2.6,58.8,15,130.8,4.1,57.98,2.2,1.2,25.0246,55.3009,19.0,Medium,34.788,11.596,8.697,2.899,5.12,6-9 PM
sharjah,0.7,88.5,12,137.0,3.1,67.37,42.1,24.3,25.1171,55.1537,14.8,High,40.422000000000004,13.474000000000002,10.105500000000001,3.3685000000000005,3.88,6-9 AM
abu dhabi,85.2,47.4,125,109.7,2.9,48.09,24.1,15.4,25.4513,55.5027,15.0,Medium,28.854,9.618000000000002,7.2135,2.4045000000000005,3.62,12-3 PM
dubai,4.6,17.8,61,107.9,3.2,40.92,15.9,6.2,24.4887,55.452,15.3,Medium,24.552,8.184000000000001,6.138,2.0460000000000003,4.0,6-9 AM
ajman,52.5,21.5,141,76.5,2.5,34.39,57.6,37.1,24.5557,54.2211,3.4,Medium,20.634,6.878,5.1585,1.7195,3.12,6-9 AM
al ain,61.5,84.6,32,16.3,0.5,8.67,17.5,6.0,24.7043,55.9989,7.4,Medium,5.202,1.734,1.3005,0.4335,0.62,6-9 PM
dubai,19.8,0.9,24,149.9,3.2,61.32,12.7,4.1,24.2842,55.8838,13.1,Medium,36.792,12.264000000000001,9.198,3.0660000000000003,4.0,6-9 AM
al ain,89.6,86.9,143,7.3,0.2,2.7,25.9,16.8,24.1949,55.7932,10.8,Medium,1.62,0.54,0.405,0.135,0.25,6-9 AM
ras al khaimah,19.0,5.6,42,76.8,1.9,37.9,18.1,7.8,24.7136,55.2446,13.8,Medium,22.74,7.58,5.685,1.895,2.38,6-9 AM
abu dhabi,88.5,39.2,12,58.2,1.5,25.71,43.7,27.0,24.3404,55.0456,22.0,High,15.426,5.142,3.8565,1.2855,1.88,6-9 AM
ajman,76.3,80.0,157,117.5,4.0,49.38,1.8,1.1,25.0047,55.0726,14.6,Medium,29.628,9.876000000000001,7.407,2.4690000000000003,5.0,6-9 PM
dubai,24.1,40.8,141,111.7,2.3,50.01,41.5,23.7,24.6557,54.0299,8.4,Low,30.005999999999997,10.002,7.501499999999999,2.5005,2.88,12-3 PM
ras al khaimah,15.1,82.2,185,96.1,2.4,50.68,25.3,9.7,25.249,54.9989,11.0,Medium,30.407999999999998,10.136000000000001,7.601999999999999,2.5340000000000003,3.0,6-9 AM
ras al khaimah,31.6,10.0,120,15.8,0.4,6.4,47.0,22.1,25.0504,55.2475,23.6,High,3.84,1.2800000000000002,0.96,0.32000000000000006,0.5,6-9 AM
sharjah,39.8,51.2,95,39.3,0.8,15.57,20.0,12.5,24.4685,55.3174,22.7,Low,9.342,3.1140000000000003,2.3355,0.7785000000000001,1.0,6-9 PM
dubai,24.6,58.2,134,18.7,0.5,8.53,1.1,0.4,25.2484,54.6643,18.0,High,5.117999999999999,1.706,1.2794999999999999,0.4265,0.62,12-3 PM
al ain,99.9,89.1,158,147.0,3.2,65.18,45.8,23.0,25.2071,54.9426,7.2,High,39.108000000000004,13.036000000000001,9.777000000000001,3.2590000000000003,4.0,6-9 PM
sharjah,23.0,9.4,126,23.5,0.8,9.09,8.0,2.9,24.5812,55.2726,16.5,Medium,5.454,1.818,1.3635,0.4545,1.0,6-9 PM
al ain,83.1,33.9,64,145.2,3.5,67.45,28.7,9.8,24.4325,54.8566,16.9,Medium,40.47,13.490000000000002,10.1175,3.3725000000000005,4.38,12-3 PM
ras al khaimah,15.9,65.9,178,21.3,0.6,9.87,50.0,23.8,25.0237,55.9243,15.1,Low,5.922,1.974,1.4805,0.4935,0.75,12-3 PM
ras al khaimah,98.0,98.0,140,130.0,3.8,60.97,55.5,23.5,24.2096,55.4109,12.1,Low,36.582,12.194,9.1455,3.0485,4.75,6-9 PM
ras al khaimah,22.6,84.8,175,88.3,2.2,38.36,14.8,9.3,24.2999,54.0025,13.2,Medium,23.016,7.672000000000001,5.754,1.9180000000000001,2.75,12-3 PM
abu dhabi,42.2,84.6,111,125.6,3.2,51.77,50.3,24.9,24.011,54.0466,11.8,Medium,31.062,10.354000000000001,7.7655,2.5885000000000002,4.0,6-9 AM
sharjah,55.9,51.7,90,96.9,2.7,40.61,46.6,27.8,25.1804,55.3806,9.3,High,24.366,8.122,6.0915,2.0305,3.38,6-9 PM
sharjah,12.0,56.4,168,116.5,3.7,59.44,55.4,31.3,24.9973,54.8253,21.8,Low,35.663999999999994,11.888,8.915999999999999,2.972,4.62,6-9 PM
sharjah,81.7,85.9,122,111.0,3.0,52.45,48.9,33.3,25.0577,55.6789,19.4,Medium,31.47,10.490000000000002,7.8675,2.6225000000000005,3.75,12-3 PM
dubai,27.5,87.0,155,42.7,1.2,18.43,5.4,2.2,25.1711,54.346,13.6,Medium,11.058,3.686,2.7645,0.9215,1.5,6-9 AM
ajman,54.9,80.2,178,140.6,4.1,66.14,56.7,34.7,24.6884,54.0277,16.8,Medium,39.684,13.228000000000002,9.921,3.3070000000000004,5.12,12-3 PM
dubai,55.0,81.9,57,98.3,2.6,41.57,1.5,0.6,24.8531,54.7762,16.9,Medium,24.942,8.314,6.2355,2.0785,3.25,12-3 PM
ras al khaimah,60.3,88.0,39,34.3,1.1,17.67,20.6,13.3,24.2097,55.4721,26.7,High,10.602,3.5340000000000007,2.6505,0.8835000000000002,1.38,6-9 AM
ras al khaimah,5.5,11.4,30,49.4,1.0,24.25,23.4,15.2,24.1718,55.9435,19.4,Medium,14.549999999999999,4.8500000000000005,3.6374999999999997,1.2125000000000001,1.25,6-9 AM
al ain,16.9,29.3,120,82.3,2.2,31.12,29.1,18.2,25.0026,55.7673,19.2,Low,18.672,6.224,4.668,1.556,2.75,6-9 PM
ras al khaimah,16.1,97.6,161,132.9,4.5,49.19,14.1,6.0,24.7066,54.9681,15.2,Medium,29.513999999999996,9.838000000000001,7.378499999999999,2.4595000000000002,5.62,6-9 PM
sharjah,30.2,54.5,195,120.5,3.5,44.1,7.4,2.7,24.8479,55.6256,12.8,Low,26.46,8.82,6.615,2.205,4.38,6-9 PM
al ain,14.5,17.6,7,48.8,1.3,17.81,50.2,32.0,25.1475,54.1407,21.9,High,10.685999999999998,3.562,2.6714999999999995,0.8905,1.62,12-3 PM
sharjah,92.2,50.3,1,104.8,3.3,47.1,38.5,20.6,24.9521,55.1445,18.3,High,28.26,9.42,7.065,2.355,4.12,6-9 PM
abu dhabi,51.3,64.6,136,5.2,0.1,2.04,28.5,13.7,24.8304,55.8486,10.9,Low,1.224,0.40800000000000003,0.306,0.10200000000000001,0.12,12-3 PM
al ain,62.4,82.8,54,53.2,1.4,25.61,46.5,21.6,24.8388,54.7928,17.3,Medium,15.366,5.122,3.8415,1.2805,1.75,6-9 AM
sharjah,35.7,81.2,95,126.7,2.9,56.62,54.9,18.7,24.4559,55.9202,19.2,Medium,33.971999999999994,11.324,8.492999999999999,2.831,3.62,6-9 PM
dubai,27.6,4.9,16,26.9,0.6,10.14,13.4,7.5,24.0462,54.4414,4.5,Medium,6.0840000000000005,2.028,1.5210000000000001,0.507,0.75,12-3 PM
sharjah,50.3,45.4,15,56.2,1.1,20.29,19.4,9.9,24.6551,54.2113,10.4,Medium,12.174,4.058,3.0435,1.0145,1.38,6-9 AM
ras al khaimah,29.4,2.1,106,5.2,0.2,1.91,56.1,38.4,24.3219,55.0495,16.8,High,1.146,0.382,0.2865,0.0955,0.25,6-9 AM
abu dhabi,34.4,88.8,138,8.4,0.2,3.83,32.6,18.6,24.6128,55.8145,5.4,Low,2.298,0.766,0.5745,0.1915,0.25,6-9 PM
sharjah,45.3,17.4,177,26.2,0.9,12.2,16.9,11.6,25.2801,54.6226,6.2,Medium,7.319999999999999,2.44,1.8299999999999998,0.61,1.12,6-9 AM
dubai,50.6,62.5,97,19.8,0.4,8.39,9.5,3.4,24.3509,55.6003,13.6,Low,5.034,1.6780000000000002,1.2585,0.41950000000000004,0.5,12-3 PM
ras al khaimah,98.4,57.1,129,76.0,1.8,28.44,59.3,34.0,24.0875,54.3384,17.5,Medium,17.064,5.688000000000001,4.266,1.4220000000000002,2.25,12-3 PM
sharjah,22.3,62.6,172,135.5,4.0,71.58,32.1,20.1,24.4221,55.4911,17.7,High,42.948,14.316,10.737,3.579,5.0,6-9 PM
abu dhabi,48.8,56.3,86,17.3,0.4,7.49,51.7,28.1,24.4404,55.1141,22.9,Medium,4.494,1.4980000000000002,1.1235,0.37450000000000006,0.5,6-9 PM
abu dhabi,15.0,71.6,42,131.1,3.6,57.33,38.2,20.9,24.9929,54.35,15.4,Medium,34.397999999999996,11.466000000000001,8.599499999999999,2.8665000000000003,4.5,12-3 PM
ajman,35.0,62.6,165,101.9,2.2,43.68,26.6,9.6,24.8355,55.4362,13.1,Low,26.208,8.736,6.552,2.184,2.75,12-3 PM
ras al khaimah,71.7,9.0,1,29.5,0.7,10.94,51.5,22.1,25.1758,55.4275,8.5,High,6.563999999999999,2.188,1.6409999999999998,0.547,0.88,6-9 PM
al ain,17.4,36.7,55,47.0,1.3,22.93,21.4,11.8,24.9965,55.0309,13.1,Low,13.758,4.586,3.4395,1.1465,1.62,6-9 PM
sharjah,58.1,54.7,26,33.2,0.9,15.92,46.1,22.6,24.6096,54.4509,18.5,Medium,9.552,3.184,2.388,0.796,1.12,6-9 PM
dubai,41.7,32.5,129,119.4,2.8,46.52,27.2,17.5,25.221,54.2646,18.8,Low,27.912000000000003,9.304,6.978000000000001,2.326,3.5,6-9 PM
ras al khaimah,5.2,76.0,54,110.1,2.6,44.96,53.8,32.9,24.2505,55.9145,16.3,Medium,26.976,8.992,6.744,2.248,3.25,12-3 PM
ajman,93.3,31.8,69,49.1,1.2,22.51,30.2,15.5,24.0341,55.3116,17.7,Medium,13.506,4.502000000000001,3.3765,1.1255000000000002,1.5,12-3 PM
ras al khaimah,41.4,82.9,130,12.9,0.3,5.52,19.5,10.6,24.1351,55.6185,21.4,Medium,3.312,1.1039999999999999,0.828,0.27599999999999997,0.38,6-9 PM
dubai,78.4,14.7,59,29.5,1.0,15.92,43.5,24.5,25.0835,55.3939,15.4,Medium,9.552,3.184,2.388,0.796,1.25,6-9 AM
abu dhabi,41.6,76.9,73,96.3,2.9,43.27,51.6,29.0,24.6928,55.6589,21.8,Medium,25.962,8.654000000000002,6.4905,2.1635000000000004,3.62,6-9 PM
ras al khaimah,93.7,18.3,100,18.1,0.4,9.39,51.1,29.6,24.2419,54.325,11.4,Medium,5.634,1.8780000000000001,1.4085,0.46950000000000003,0.5,12-3 PM
ras al khaimah,29.0,52.8,24,82.8,2.1,32.86,28.7,14.3,24.7516,54.9939,14.6,Medium,19.715999999999998,6.572,4.928999999999999,1.643,2.62,6-9 PM
sharjah,41.2,32.1,187,93.9,2.1,43.21,26.4,9.2,24.2285,55.3342,12.6,High,25.926,8.642000000000001,6.4815,2.1605000000000003,2.62,12-3 PM
ras al khaimah,75.9,63.7,196,104.7,2.5,43.76,9.0,6.1,25.0445,54.2068,19.0,Low,26.255999999999997,8.752,6.563999999999999,2.188,3.12,6-9 PM
al ain,34.4,21.3,142,23.2,0.8,12.25,2.4,0.7,24.6692,54.2999,9.9,Low,7.35,2.45,1.8375,0.6125,1.0,6-9 PM
sharjah,36.4,79.5,22,71.7,1.6,32.93,55.9,17.1,24.5715,55.268,13.4,Low,19.758,6.586,4.9395,1.6465,2.0,6-9 PM
al ain,99.5,57.4,95,72.2,2.4,34.49,43.5,29.4,24.4523,55.7374,5.7,Low,20.694,6.898000000000001,5.1735,1.7245000000000001,3.0,6-9 PM
abu dhabi,55.6,95.7,71,126.1,4.1,47.12,34.6,17.2,24.9454,55.3208,18.0,Medium,28.272,9.424,7.068,2.356,5.12,6-9 AM
abu dhabi,68.9,71.2,34,73.0,2.3,32.69,35.0,21.9,24.5427,54.0724,21.2,Low,19.613999999999997,6.538,4.903499999999999,1.6345,2.88,12-3 PM
ras al khaimah,64.3,60.7,175,64.0,1.8,29.72,1.4,0.6,24.1315,55.9409,19.6,Low,17.831999999999997,5.944,4.457999999999999,1.486,2.25,6-9 PM
ajman,82.8,82.9,83,22.9,0.5,9.44,27.2,12.8,24.177,54.279,19.1,Low,5.664,1.888,1.416,0.472,0.62,12-3 PM
dubai,86.2,22.0,130,105.7,3.4,52.05,55.3,32.2,25.4428,54.4651,19.2,Medium,31.229999999999997,10.41,7.807499999999999,2.6025,4.25,12-3 PM
ras al khaimah,56.3,63.3,138,94.9,3.1,42.13,27.7,13.9,25.3629,55.9499,18.5,Medium,25.278000000000002,8.426,6.319500000000001,2.1065,3.88,12-3 PM
abu dhabi,29.5,39.0,64,109.0,3.0,50.25,34.8,23.0,25.0496,55.5421,18.1,Medium,30.15,10.05,7.5375,2.5125,3.75,6-9 AM
ras al khaimah,2.3,74.4,70,100.2,2.1,42.58,22.6,13.0,24.3988,55.8732,18.4,High,25.548,8.516,6.387,2.129,2.62,12-3 PM
dubai,61.4,2.4,194,131.9,3.0,63.55,6.3,3.2,25.4538,55.6132,11.7,Low,38.129999999999995,12.71,9.532499999999999,3.1775,3.75,6-9 AM
ras al khaimah,82.5,42.8,165,132.2,2.8,50.05,19.4,12.3,25.1681,55.3035,14.0,Medium,30.029999999999998,10.01,7.507499999999999,2.5025,3.5,6-9 AM
ras al khaimah,45.1,65.2,100,49.6,1.1,22.38,5.1,2.6,25.0753,54.5691,15.4,Low,13.427999999999999,4.476,3.3569999999999998,1.119,1.38,6-9 AM
ras al khaimah,16.5,46.1,107,31.4,0.9,16.37,34.7,14.6,24.674,54.6538,13.3,High,9.822000000000001,3.2740000000000005,2.4555000000000002,0.8185000000000001,1.12,6-9 AM
ajman,28.8,23.8,2,139.3,4.6,56.05,58.9,20.5,24.4084,55.8945,7.2,Low,33.629999999999995,11.21,8.407499999999999,2.8025,5.75,6-9 PM
sharjah,51.0,46.4,41,108.4,3.2,55.97,21.8,9.6,24.1446,55.7213,8.8,High,33.582,11.194,8.3955,2.7985,4.0,6-9 AM
ras al khaimah,83.7,85.0,2,145.8,4.2,75.72,51.5,28.5,25.3539,54.719,16.1,Medium,45.431999999999995,15.144,11.357999999999999,3.786,5.25,6-9 PM
abu dhabi,17.2,20.7,161,77.1,2.4,30.95,2.6,1.8,24.6837,54.7465,19.5,Medium,18.57,6.19,4.6425,1.5475,3.0,6-9 AM
ras al khaimah,61.2,36.7,188,144.5,4.3,54.12,30.3,18.1,24.3035,54.5954,15.0,Medium,32.471999999999994,10.824,8.117999999999999,2.706,5.38,6-9 PM
ajman,75.3,99.0,33,22.8,0.6,11.35,39.3,21.5,24.4589,54.6523,28.8,Medium,6.81,2.27,1.7025,0.5675,0.75,12-3 PM
sharjah,93.6,91.3,56,90.6,2.9,48.25,19.2,7.3,24.8688,55.7213,10.4,Low,28.95,9.65,7.2375,2.4125,3.62,6-9 AM
ajman,11.7,3.4,71,77.0,1.9,31.26,5.9,3.4,24.2652,54.021,17.2,High,18.756,6.252000000000001,4.689,1.5630000000000002,2.38,6-9 AM
ajman,92.6,53.0,162,5.4,0.2,2.83,13.1,6.7,25.2849,54.8721,21.5,Medium,1.698,0.5660000000000001,0.4245,0.14150000000000001,0.25,6-9 AM
dubai,60.1,6.5,82,33.0,0.7,13.12,4.2,2.5,25.1378,55.8857,20.3,Low,7.871999999999999,2.624,1.9679999999999997,0.656,0.88,12-3 PM
dubai,76.7,92.4,9,27.3,0.8,11.59,53.3,23.8,25.0792,55.0853,18.3,Low,6.954,2.318,1.7385,0.5795,1.0,6-9 AM
abu dhabi,5.4,44.2,117,13.8,0.4,7.17,0.3,0.1,24.6481,54.9009,20.4,Medium,4.302,1.4340000000000002,1.0755,0.35850000000000004,0.5,6-9 AM
dubai,50.6,41.8,30,142.5,3.8,59.1,4.2,2.1,24.941,54.6247,15.3,Medium,35.46,11.82,8.865,2.955,4.75,6-9 PM
sharjah,62.3,27.3,129,145.0,3.8,71.92,47.7,21.2,24.8761,54.1478,23.3,Medium,43.152,14.384,10.788,3.596,4.75,6-9 PM
ras al khaimah,30.7,56.9,171,134.3,2.8,51.9,18.0,9.6,24.9748,54.449,21.4,Medium,31.139999999999997,10.38,7.784999999999999,2.595,3.5,6-9 PM
ajman,43.2,14.5,14,148.4,4.6,63.54,21.9,9.0,24.1267,54.1809,10.7,Low,38.123999999999995,12.708,9.530999999999999,3.177,5.75,6-9 AM
sharjah,55.4,79.9,198,125.4,3.2,66.38,18.4,6.1,24.6237,54.2534,16.6,High,39.827999999999996,13.276,9.956999999999999,3.319,4.0,6-9 PM
al ain,55.3,49.1,132,140.2,3.8,56.18,53.4,19.8,24.0624,54.327,7.3,Low,33.708,11.236,8.427,2.809,4.75,12-3 PM
ajman,4.2,56.6,11,33.7,1.1,16.39,55.7,27.7,24.741,54.6041,22.6,Medium,9.834,3.2780000000000005,2.4585,0.8195000000000001,1.38,6-9 AM
dubai,43.9,84.1,44,42.2,1.2,22.18,55.7,18.2,24.4948,54.022,16.1,High,13.308,4.436,3.327,1.109,1.5,6-9 AM
ras al khaimah,21.4,18.5,34,130.0,4.3,65.17,18.4,8.4,24.2168,55.9003,21.7,Medium,39.102,13.034,9.7755,3.2585,5.38,6-9 PM
ajman,91.7,17.5,176,74.5,1.6,39.53,12.0,6.8,24.1551,54.2476,14.5,Medium,23.718,7.906000000000001,5.9295,1.9765000000000001,2.0,6-9 AM
ajman,97.7,42.1,144,109.0,2.6,57.76,49.7,25.1,24.8815,54.7663,5.7,High,34.656,11.552,8.664,2.888,3.25,12-3 PM
ajman,30.0,78.6,75,86.5,2.0,32.91,50.9,26.5,24.2559,55.7591,28.2,Low,19.746,6.582,4.9365,1.6455,2.5,12-3 PM
ajman,17.5,5.9,106,49.3,1.6,23.09,21.3,12.6,25.3877,54.2131,15.7,Low,13.854,4.618,3.4635,1.1545,2.0,6-9 PM
dubai,22.0,79.5,70,46.3,1.5,20.23,34.7,12.1,24.8716,54.9672,10.0,Low,12.138,4.046,3.0345,1.0115,1.88,6-9 PM
ajman,47.8,50.1,81,113.5,3.7,54.81,23.4,9.5,24.5203,55.6896,20.7,Low,32.886,10.962000000000002,8.2215,2.7405000000000004,4.62,6-9 PM
ras al khaimah,87.5,56.2,127,82.2,2.3,40.58,0.9,0.4,24.8864,55.1139,25.2,Medium,24.348,8.116,6.087,2.029,2.88,12-3 PM
abu dhabi,50.0,56.4,39,57.1,1.3,23.08,24.6,10.0,24.0342,54.4207,14.0,Medium,13.847999999999999,4.616,3.4619999999999997,1.154,1.62,12-3 PM
ajman,5.5,5.6,152,94.5,2.4,47.63,53.7,25.5,25.4378,55.471,14.5,Medium,28.578,9.526000000000002,7.1445,2.3815000000000004,3.0,6-9 AM
dubai,4.0,25.0,189,65.9,1.9,28.58,51.5,33.9,24.7235,55.3627,16.2,Medium,17.148,5.716,4.287,1.429,2.38,6-9 PM
sharjah,22.7,75.5,194,73.9,1.5,35.34,6.2,2.1,25.1741,54.7244,9.4,Medium,21.204,7.068000000000001,5.301,1.7670000000000003,1.88,6-9 PM
sharjah,84.3,41.2,35,103.3,3.1,45.14,18.4,7.7,24.1241,54.0926,11.5,Low,27.084,9.028,6.771,2.257,3.88,6-9 AM
al ain,62.1,56.1,82,71.4,2.3,30.15,4.4,2.8,24.73,54.0157,23.9,Medium,18.09,6.03,4.5225,1.5075,2.88,6-9 AM
abu dhabi,56.3,94.5,53,142.7,3.6,69.2,17.9,9.4,24.7361,55.6508,14.3,Medium,41.52,13.840000000000002,10.38,3.4600000000000004,4.5,6-9 PM
abu dhabi,31.9,4.6,127,75.4,2.3,34.5,17.9,12.3,25.4067,54.6431,10.8,Medium,20.7,6.9,5.175,1.725,2.88,6-9 PM
sharjah,92.9,45.0,65,144.5,3.9,74.2,3.2,1.2,24.8576,54.2755,12.7,High,44.52,14.840000000000002,11.13,3.7100000000000004,4.88,6-9 PM
al ain,33.1,36.1,79,127.9,2.6,64.14,53.7,32.3,24.7102,55.0371,20.4,High,38.484,12.828000000000001,9.621,3.2070000000000003,3.25,6-9 AM
al ain,83.5,10.6,28,134.2,3.3,69.29,50.4,32.0,24.4005,55.8417,5.1,Medium,41.574000000000005,13.858000000000002,10.393500000000001,3.4645000000000006,4.12,6-9 PM
dubai,89.6,95.1,112,115.7,3.2,57.6,55.7,38.1,24.4974,54.017,16.3,Medium,34.56,11.520000000000001,8.64,2.8800000000000003,4.0,12-3 PM
abu dhabi,48.3,96.1,107,92.7,2.9,48.67,44.7,16.2,24.781,54.1123,27.3,Medium,29.201999999999998,9.734000000000002,7.3004999999999995,2.4335000000000004,3.62,6-9 AM
ras al khaimah,89.4,31.1,110,82.2,2.1,31.91,45.6,23.5,24.6584,54.8341,25.2,High,19.146,6.382000000000001,4.7865,1.5955000000000001,2.62,12-3 PM
dubai,27.7,94.7,68,85.0,1.9,40.4,47.2,21.8,24.0324,55.3519,17.9,Medium,24.24,8.08,6.06,2.02,2.38,6-9 PM
al ain,65.8,3.5,151,34.2,0.7,12.82,40.5,22.0,25.2394,54.9522,21.6,Medium,7.692,2.564,1.923,0.641,0.88,6-9 PM
abu dhabi,8.8,98.1,121,36.1,1.1,16.24,10.6,3.5,25.3442,55.7951,21.5,Low,9.743999999999998,3.2479999999999998,2.4359999999999995,0.8119999999999999,1.38,6-9 AM
al ain,47.4,83.6,36,10.0,0.3,5.15,10.7,5.2,24.2104,54.0882,14.4,High,3.0900000000000003,1.03,0.7725000000000001,0.2575,0.38,6-9 PM
abu dhabi,21.7,21.4,74,113.1,3.4,55.49,30.0,9.3,24.8311,54.6803,19.6,Medium,33.294,11.098,8.3235,2.7745,4.25,6-9 PM
sharjah,6.3,60.0,132,23.1,0.5,10.74,41.4,17.5,24.1629,54.7027,23.9,Medium,6.444,2.148,1.611,0.537,0.62,6-9 PM
ajman,0.4,79.8,24,89.4,2.8,43.35,1.8,1.1,25.0084,54.6803,8.7,High,26.01,8.67,6.5025,2.1675,3.5,6-9 PM
dubai,32.5,31.9,71,25.0,0.6,9.78,32.8,16.0,24.4219,54.9754,17.9,Medium,5.867999999999999,1.956,1.4669999999999999,0.489,0.75,12-3 PM
ajman,59.0,35.4,174,14.6,0.3,7.7,53.2,34.1,24.9891,55.5812,16.8,Medium,4.62,1.54,1.155,0.385,0.38,6-9 AM
ajman,45.5,62.9,88,82.4,2.3,32.82,7.6,2.5,25.0905,54.6358,15.5,Low,19.692,6.564,4.923,1.641,2.88,6-9 AM
